Song,Lyrics
Dear Reader,"[Verse 1]
Dear reader,
 if it feels like a trap
You're already in one
Dear reader, get out your map
Pick somewhere and just run
Dear reader, burn all the files
Desert all your past lives
And if you don't recognize yourself
That means you did it right
[Chorus]
Never take advice from someone who's falling apart
Never take advice from someone who's falling apart (You should find another)
[Verse 2]
Dear reader, bend when you can
Snap when you have to
Dear reader, you don't have to answer
Just 'cause they asked you
(You should find another)
Dear reader, the greatest of luxuries is your secrets
Dear reader, when you aim at the devil
Make sure you don't miss
[Chorus]
Never take advice from someone who's falling apart
Never take advice from someone who's falling apart
[Bridge]
So I wander through these nights
I prefer hiding in plain sight
My fourth drink in my hand
These desperate prayers of a cursed man
Spilling out to you for free
But darling, darling, please
You wouldn't take my word for it if you knew who was talking
If you knew where I was walking
To a house, not a home, all alone 'cause nobody's there
Where I pace in my pen and my friends found friends who care
No one sees when you lose when you're playing solitaire
[Outro]
You should find another guiding light, guiding light
But I shine so bright
You should find another guiding light, guiding light
But I shine so bright
You should find another, you should find another (Guiding light)
Find another, you should find another
You should find another"
Death By A Thousand Cuts,"[Intro]
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
[Chorus]
Saying goodbye is death by a thousand cuts
Flashbacks waking me up
I get drunk, but it's not enough
’Cause the morning comes and you're not my baby
I look through the windows of this love
Even though we boarded them up
Chandelier's still flickering here
’Cause I can't pretend it's okay when it's not
It's death by a thousand cuts
[Verse]
I dress to kill my time, I take the long way home
I ask the traffic lights if it'll be alright
They say, ""I don't know""
And what once was ours is no one's now
I see you everywhere, the only thing we share
Is this small town
You said it was a great love, one for the ages
But if the story’s over, why am I still writing pages?
[Chorus]
’Cause saying goodbye is death by a thousand cuts
Flashbacks waking me up
I get drunk, but it's not enough
’Cause the morning comes and you're not my baby
I look through the windows of this love
Even though we boarded them up
Chandelier's still flickering here
'Cause I can’t pretend it's okay when it's not
It's death by a thousand cuts
[Bridge]
My heart, my hips, my body, my love
Tryna find a part of me that you didn't touch
Gave up on me like I was a bad drug
Now I'm searching for signs in a haunted club
Our songs, our films, united we stand
Our country, guess it was a lawless land
Quiet my fears with the touch of your hand
Paper cut stings from our paper-thin plans
My time, my wine, my spirit, my trust
Tryna find a part of me you didn't take up
Gave you too much, but it wasn't enough
But I'll be alright, it's just a thousand cuts
[Chorus]
I get drunk, but it's not enough
'Cause you're not my baby
I look through the windows of this love
Even though we boarded them up
Chandelier's still flickering here
'Cause I can't pretend it's okay when it's not
No, it's not
It's death by a thousand cuts (You didn't touch)
[Post-Chorus]
Tryna find a part of me that you didn't touch
My body, my love, my trust (It's death by a thousand cuts)
But it wasn't enough, it wasn't enough, no, no
[Outro]
I take the long way home
I ask the traffic lights if it'll be alright
They say, ""I don't know"""
Down Bad,"[Verse 1]
Did you really beam me up
In a cloud of sparkling dust
Just to do experiments on?
Tell me I was the chosen one
Showed me that this world is bigger than us
Then sent me back where I came from
[Pre-Chorus]
For a moment, I knew cosmic love
[Chorus]
Now I'm down bad, cryin' at the gym
Everything comes out teenage petulance
""Fuck it if I can't have him""
""I might just die, it would make no difference""
Down bad, wakin' up in blood
Starin' at the sky, come back and pick me up
Fuck it if I can't have us
I might just not get up, I might stay
[Post-Chorus]
Down bad
Fuck it if I can't have him
Down bad
Fuck it if I can't have him
[Verse 2]
Did you take all my old clothes
Just to leave me here, naked and alone
In a field in my same old town
That somehow seems so hollow now?
They'll say I'm nuts if I talk about
The existence of you
[Pre-Chorus]
For a moment, I was heavenstruck
[Chorus]
Now I'm down bad, cryin' at the gym (Cryin' at the gym)
Everything comes out teenage petulance
""Fuck it if I can't have him"" (Fuck it if I can't have him)
""I might just die, it would make no difference""
Down bad, wakin' up in blood (Wakin' up in blood)
Starin' at the sky, come back and pick me up
Fuck it if I can't have us
I might just not get up, I might stay
[Post-Chorus]
Down bad (Like I lost my twin)
Fuck it if I can't have him (Down bad)
Down bad (Wavin' at the ship)
Fuck it if I can't have him
[Bridge]
I loved your hostile takeovers
Encounters closer and closer
All your indecent exposures
How dare you say that it's—
I'll build you a fort on some planet
Where they can all understand it
How dare you think it's romantic
Leaving me safe and stranded
'Cause fuck it, I was in love
So fuck you if I can't have us
'Cause fuck it, I was in love
[Chorus]
Now I'm down bad, cryin' at the gym (Cryin' at the gym)
Everything comes out teenage petulance
""Fuck it if I can't have him"" (Can't have him)
""I might just die, it would make no difference""
Down bad, wakin' up in blood (Wakin' up in blood)
Starin' at the sky, come back and pick me up
Fuck it if I can't have us
I might just not get up, I might stay
[Post-Chorus]
Down bad (Like I lost my twin)
Fuck it if I can't have him (I'm down bad)
Down bad (Wavin' at the ship)
Fuck it if I can't have him
[Outro]
Like I lost my twin
Fuck it if I can't have him
Down bad (Wavin' at the ship)
Fuck it if I can't have him"
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),
Enchanted (Taylor's Version),"[Verse 1]
There I was again tonight
Forcing laughter, faking smiles
Same old tired, lonely place
Walls of insincerity
Shifting eyes and vacancy
Vanished when I saw your face
All I can say is it was enchanting to meet you
[Verse 2]
Your eyes whispered, ""Have we met?""
Across the room, your silhouette
Starts to make its way to me
The playful conversation starts
Counter all your quick remarks
Like passing notes in secrecy
And it was enchanting to meet you
All I can say is I was enchanted to meet you
[Chorus]
This night is sparklin', don't you let it go
I'm wonderstruck, blushin' all the way home
I'll spеnd forever wonderin' if you knеw
I was enchanted to meet you
[Verse 3]
The lingering question kept me up
2 a.m., who do you love?
I wonder 'til I'm wide awake
And now, I'm pacing back and forth
Wishing you were at my door
I'd open up and you would say
""Hey, it was enchanting to meet you""
All I know is I was enchanted to meet you
[Chorus]
This night is sparklin', don't you let it go
I'm wonderstruck, blushin' all the way home
I'll spend forever wonderin' if you knew
This night is flawless, don't you let it go
I'm wonderstruck, dancing around all alone
I'll spend forever wonderin' if you knew
I was enchanted to meet you
[Bridge]
This is me praying that
This was the very first page
Not where the storyline ends
My thoughts will echo your name
Until I see you again
These are the words I held back
As I was leaving too soon
I was enchanted to meet you
Please, don't be in love with someone else
Please, don't have somebody waitin' on you
Please, don't be in love with someone else (Ooh)
Please, don't have somebody waitin' on you (Oh-oh)
[Chorus]
This night is sparklin', don't you let it go
I'm wonderstruck, blushin' all the way home
I'll spend forever wonderin' if you knew
This night is flawless (Please, don't be in love with someone else)
Don't you let it go
I'm wonderstruck (Please, don't have somebody waitin' on you)
Dancing around all alone
I'll spend forever (Please, don't be in love with someone else)
Wonderin' if you knew
I was enchanted to meet you
[Outro]
Please, don't be in love with someone else
Please, don't have somebody waitin' on you"
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),
False God,"[Verse 1]
We were crazy to think
Crazy to think that this could work
Remember how I said I'd die for you?
We were stupid to jump
In the ocean separating us
Remember how I’d fly to you?
[Pre-Chorus]
And I can't talk to you when you're like this
Staring out the window like I’m not your favorite town
I'm New York City
I still do it for you, babe
They all warned us about times like this
They say the road gets hard and you get lost
When you're led by blind faith, blind faith
[Chorus]
But we might just get away with it
Religion's in your lips
Even if it's a false god
We'd still worship
We might just get away with it
The altar is my hips
Even if it's a false god
We'd still worship this love
We’d still worship this love
We’d still worship this love
[Verse 2]
I know heaven's a thing
I go there when you touch me, honey
Hell is when I fight with you
But we can patch it up good
Make confessions and we’re begging for forgiveness
Got the wine for you
[Pre-Chorus]
And you can't talk to me when I'm like this
Daring you to leave me just so I can try and scare you
You're the West Village
You still do it for me, babe
They all warned us about times like this
They say the road gets hard and you get lost
When you’re led by blind faith, blind faith
[Chorus]
But we might just get away with it
Religion's in your lips
Even if it's a false god
We'd still worship
We might just get away with it
The altar is my hips
Even if it's a false god
We'd still worship this love
We'd still worship this love
We'd still worship this love, ah
[Outro]
Still worship this love
Even if it's a false god
Even if it's a false god
Still worship this love"
Fearless,"[Verse 1]
There's somethin' 'bout the way
The street looks when it's just rained
There's a glow off the pavement
You walk me to the car
And you know I wanna ask you to dance right there
In the middle of the parkin' lot, yeah
Oh, yeah
[Verse 2]
We're driving down the road
I wonder if you know
I'm trying so hard not to get caught up now
But you're just so cool
Run your hands through your hair
Absent-mindedly makin' me want you
[Chorus]
And I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why, but with you, I'd dance
In a storm, in my best dress, fearless
[Verse 3]
So, baby, drive slow 'til we run out of road
In this one-horse town,
 I wanna stay right here
In this passenger seat, you put your eyes on me
In this moment now, capture it, remember it
[Chorus]
'Cause I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why, but with you, I'd dance
In a storm, in my best dress, fearless
[Post-Chorus]
Oh-oh
[Bridge]
Well, you stood there with me in the doorway
My hands shake, I'm not usually this way but
You pull me in and I'm a little more brave
It's the first kiss, it's flawless, really somethin'
It's fearless
Oh, yeah
[Chorus]
'Cause I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why, but with you, I'd dance
In a storm, in my best dress, fearless
'Cause I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why, but with you, I'd dance
In a storm, in my best dress, fearless
[Outro]
Oh-oh
Oh-oh, yeah"
Florida!!! (feat. Florence + The Machine),
Foolish One (Taylor’s Version) (From The Vault),"[Verse 1]
My cards are on the table, yours are in your hand
Chances are, tonight, you've already got plans
And chances are I will talk myself to sleep again
You give me just enough attention to keep my hopes too high
Wishful thoughts forget to mention when something's really not right
And I will block out these voices of reason in my head
[Pre-Chorus]
And the voices say, ""You are not the exception
You will never learn your lesson""
[Chorus]
Foolish one
Stop checkin' your mailbox for confessions of love
That ain't never gonna come
You will take the long way, you will take the long way down
[Verse 2]
You know how to keep me waitin'
I know how to act like I'm fine
Don't know what to call this situation
But I know I can't call you mine
And it's delicate, but I will do my best to seem bulletproof
'Cause when my head is on your shoulder
It starts thinkin' you'll come around
And maybe, someday, when we're older
This is something we'll laugh about
Over coffee every mornin' while you're watching the news
[Pre-Chorus]
But then the voices say, ""You are not the exception
You will never learn your lesson""
[Chorus]
Foolish one
Stop checkin' your mailbox for confessions of love
That ain't never gonna come
You will take the long way, you will take the long way down
Foolish one
Stop checkin' your mailbox for confessions of love
That ain't never gonna come
You will learn the hard way instead of just walkin' out
[Bridge]
Now I'm slidin' down the wall with my head in my hands
Sayin', ""How could I not see the signs?""
Oh, you haven't written me or called
But goodbye screamin' in the silence
And the voices in my head are tellin' me why
'Cause you got her on your arm and me in the wings
I'll get your longing glances, but she'll get your ring
And you will say you had the best of intentions
And maybe I will finally learn my lesson
[Chorus]
Foolish one
Stop checkin' your mailbox for confessions of love
That ain't never gonna come
You will take the long way, you will take the long way down
Foolish one
Stop checkin' your mailbox for confessions of love
That ain't never gonna come
You will learn the hard way instead of just walkin' out, oh-oh, oh, oh
[Outro]
La-la-la-la-la, la-la-la-la, oh
La-la-la-la-la
Ain't never gonna come
Ooh, you will learn the hard way now
Foolish one
Sittin' 'round waiting for confessions of love
They ain't never gonna come
And thinkin' he's the one, you should've been walkin' out
Foolish one
The day is gonna come for your confessions of love
When all is said and done, he just wasn't the one
No, he just wasn't the one"
Forever Winter (Taylor's Version) (From The Vault),"[Verse 1]
He says he doesn't believe anything much he hears these days
He says, ""Why fall in love, just so you can watch it go away?""
He spends most of his nights wishing it was how it used to be
He spends most of his flights getting pulled down by gravity
[Pre-Chorus]
I call, just checkin' up on him
He's up, 3AM, pacin'
He says, ""
It's not just a phase I'm in
""
My voice comes out beggin'
[Chorus]
All this time, I didn't know
You were breakin' down
I'd fall to pieces on the floor
If you weren't around
Too young to know it gets better
I'll be summer sun for you forever
Forever winter if you go
[Verse 2]
He seems fine most of the time, forcing smiles and never minds
His laugh is a symphony, when the lights go out, it's hard to breathe
I pull at every thread trying to solve the puzzles in his head
Live my life scared to death he'll decide to leave instead
[Pre-Chorus]
I call, just checkin' up on him
He's up, 5AM, wasted
Long gone, not even listening
My voice comes out screamin'
[Chorus]
All this time, I didn't know
You were breakin' down
I'd fall to pieces on the floor
If you weren't around
Too young to know it gets better
I'll be summer sun for you forever
Forever winter if you go
[Bridge]
If I was standing there in your apartment
I'd take that bomb in your head and disarm it
I'd say, ""I love you even at your darkest and
Please, don't go""
[Chorus]
I didn't know
You were breakin' down
I'd fall to pieces on the floor
If you weren't around
Too young to know it gets better
I'll be summer sun for you forever
Forever winter if you go
[Post-Chorus]
(Ooh, ooh, ooh)
I'll be your summer sun forever
(Ooh, ooh, ooh) At 3AM, pacin'
All this time, I didn't know
(Ooh, ooh, ooh) At 5AM, wasted
I'd be in pieces on the floor
Forever winter if you go
[Outro]
He says he doesn't believe anything much he hears these days
I say, ""Believe in one thing, I won't go away"""
Fortnight (feat. Post Malone),
Fresh Out The Slammer,"[Intro]
Now, pretty baby, I'm runnin' back home to you
Fresh out the slammer, I know who my first call will be to
(Fresh out the slammer, oh)
[Verse 1]
Another summer takin' cover, rolling thunder
He don't understand me
Splintered back in winter
, 
silent dinners, bitter
He was with her in dreams
[Pre-Chorus]
Gray and blue and fights and tunnels
Handcuffed to the spell I was under
For just one hour of sunshine
Years of labor, locks, and ceilings
In the shade of how he was feeling
But it's gonna be alright, I did my time
[Chorus]
Now, pretty baby, I'm runnin' back home to you
Frеsh out the slammer, I know who my first call will be to
(Frеsh out the slammer, oh)
[Verse 2]
Camera flashes, welcome bashes, get the matches
Toss the ashes off the ledge
As I said in my letters, now that I know better
I will never lose my baby again
[Pre-Chorus]
My friends tried, but I wouldn't hear it
Watch me daily disappearing
For just one glimpse of his smile
All those nights, he kept me goin'
Swirled you into all of my poems
Now we're at the starting line, I did my time
[Chorus]
Now, pretty baby, I'm runnin'
[Bridge]
To the house where you still wait up and that porch light gleams (Gleams)
To the one who says I'm the girl of his American dreams
And no matter what I've done, it wouldn't matter anyway
Ain't no way I'm gonna screw up now that I know what's at stake here
At the park where we used to sit on children's swings
Wearing imaginary rings
[Outro]
But it's gonna be alright, I did my time"
Girl At Home (Taylor's Version),"[Intro]
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don’t look at me, you got a girl at home
And everybody knows that
[Verse 1]
I don't even know her
But I feel a responsibility
To do what's upstanding and right
It’s kinda like a code, yeah
And you've been getting closer and closer
And crossing so many lines
[Pre-Chorus]
And it would be a fine proposition
If I was a stupid girl
But, honey, I am no one's exception
This, I have previously learned
[Chorus]
So don't look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that, еverybody knows that
I see you turn off your phone
And now you've got mе alone, and I say
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
[Verse 2]
I just wanna make sure
You understand perfectly
You're the kind of man who makes me sad
While she waits up
You chase down the newest thing
And take for granted what you have
[Pre-Chorus]
And it would be a fine proposition
If I was a stupid girl
And, yeah, I might go with it
If I hadn’t once been just like her
[Chorus]
So don’t look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
I see you turn off your phone
And now you’ve got me alone, and I say
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
[Post-Chorus]
Oh-oh
Oh-oh
[Bridge]
Call a cab, lose my number
You're about to lose your girl
Call a cab, lose my number
Let's consider this lesson learned
[Chorus]
Don’t look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
Wanna see you pick up your phone
And tell her you're coming home
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
[Outro]
It would be a fine proposition
If I hadn't once been just like her"
Glitch,"[Verse 1]
We were supposed to be just friends
You don't live in my part of town, but maybe I'll see you out some weekend
Depending on what kind of mood and situationship I'm in
And what's in my system
[Chorus]
I think there's been a glitch, oh, yeah
Five seconds later, I'm fastening myself to you with a stitch, oh, yeah
And I'm not even sorry, nights are so starry
Blood moonlit
It must be counterfeit
I think there's been a glitch, oh, yeah
[Verse 2]
I was supposed to sweat you out
In search of glorious happenings of happenstance on someone else's playground
But it's been two-thousand one-hundred ninety days of our love blackout
(Our love is blacking out)
The system's breaking down
(The system's breaking down)
[Chorus]
I think there's been a glitch, oh, yeah
Five seconds later, I'm fastening myself to you with a stitch, oh, yeah
And I'm not even sorry, nights are so starry
Blood moonlit
It must be counterfeit
I think there's been a glitch
[Bridge]
A brief interruption, a slight malfunction
I'd go back to wanting dudes who give nothing
I thought we had no chance
And that's romance, let's dance
[Chorus]
Glitch, oh, yeah
Five seconds later, I'm fastening myself to you with a stitch, oh, yeah
And I'm not even sorry, nights are so starry
Blood moonlit
It must be counterfeit (It must be counterfeit)
I think there's been a glitch"
Guilty as Sin?,"[Verse 1]
Drownin' in the Blue Nile
He sent me ""Downtown Lights""
I hadn't heard it in a while
My boredom's bone-deep
This cage was once just fine
Am I allowed to cry?
I dream of crackin' locks
Throwin' my life to the wolves
 or 
the ocean rocks
Crashin' into him tonight, he's a paradox
I'm seeing visions
Am I bad or mad or wise?
[Chorus]
What if he's 
written
 
""mine""
 on my 
upper thigh
 
only in my mind?
One slip and fallin' back into the hedge maze
Oh, what a way to die
I keep recalling things we never did
Messy top-lip kiss, how I long for our trysts
Without ever touchin' his skin
How can I be guilty as sin?
[Verse 2]
I keep these longings lockеd
In lowercase, inside a vault
Somеone told me, ""There's no such thing as bad thoughts
Only your actions talk""
These fatal fantasies
Giving way to labored breath, takin' all of me
We've already done it in my head
If it's make-believe
Why does it feel like a vow we'll both uphold somehow?
[Chorus]
What if he's written ""mine"" on my upper thigh only in my mind?
One slip and fallin' back into the hedge maze
Oh, what a way to die
My bed sheets are ablaze
I've screamed his name
Buildin' up like waves crashin' over my grave
Without ever touchin' his skin
How can I be guilty as sin?
[Bridge]
What if I roll the stone away?
They're gonna crucify me anyway
What if the way you hold me is actually what's holy?
If long-suffering propriety is what they want from me
They don't know how you've haunted me so stunningly
I choose you and me religiously
[Chorus]
What if he's written ""mine"" on my upper thigh only in my mind?
One slip and fallin' back into the hedge maze
Oh, what a way to die
I keep recalling things we never did
Messy top-lip kiss, how I long for our trysts
Without ever touchin' his skin
How can I be guilty as sin?
[Outro]
He sent me ""Downtown Lights""
I hadn't heard it in a while
Am I allowed to cry?"
Haunted (Taylor's Version),"[Verse 1]
You and I walk a fragile line
I have known it all this time
But I never thought I'd live to see it break
It's getting dark and it's all so quiet
And I can't trust anything now
And it's coming over you like it's all a big mistake
[Pre-Chorus]
Oh, holding my breath
Won't lose you again
Something's made your eyes go cold
[Chorus]
Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted
[Verse 2]
Stood there and watched you walk away
From everything we had
But I still mean every word I said to you
He will try to take away my pain
And he just might make me smile
But the whole time, I'm wishing he was you instead
[Pre-Chorus]
Oh, holding my breath
Won't see you again
Something keeps me holding onto nothing
[Chorus]
Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted
[Bridge]
I know, I know
I just know
You're not gone
You can't be gone, no
[Chorus]
Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong (Terribly wrong)
Won't finish what you started
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
I can't go back, I'm haunted
[Outro]
Oh
You and I walk a fragile line
I have known it all this time
Never ever thought I'd see it break
Never thought I'd see it"
High Infidelity,"[Verse 1]
Lock broken, slur spoken
Wound open, game token
I didn't know you were keeping count
Rain soaking, blind hoping
You said I was freeloading
I didn't know you were keeping count
[Chorus]
High infidelity
Put on your records and regret me
I bent the truth too far tonight
I was dancing around, dancing around it
High infidelity
Put on your headphones and burn my city
Your picket fence is sharp as knives
I was dancing around, dancing around it
[Refrain]
Do you really wanna know where I was April 29th?
Do I really have to chart the constellations in his eyes?
[Verse 2]
Storm coming, good husband
Bad omen
Dragged my feet right down the aisle
At the house lonely, good money
I'd pay if you'd just know me
Seemed like the right thing at the time
[Refrain]
You know there's many different ways that you can kill the one you love
The slowest way is never loving them enough
Do you really wanna know where I was April 29th?
Do I really have to tell you how he brought me back to life?
[Chorus]
High infidelity
Put on your records and regret me
I bent the truth too far tonight
I was dancing around, dancing around it
High infidelity
Put on your headphones and burn my city
Your picket fence is sharp as knives
I was dancing around, dancing around it
[Refrain]
Do you really want to know where I was April 29th?
Do I really have to chart the constellations in his eyes?
You know there's many different ways that you can kill the one you love
The slowest way is never loving them enough
[Chorus]
High infidelity
Put on your records and regret meeting me
I bent the truth too far tonight
I was dancing around, dancing around it
High infidelity
Put on your headphones and burn my city
Your picket fence is sharp as knives
I was dancing around, dancing around it
[Non-Lyrical Break]
[Post-Chorus]
Oh, there's many different ways that you can kill the one you love
And it's never enough, it's never enough
[Outro]
Lock broken, slur spoken
Wound open, game token
I didn't know you were keeping count
Rain soaking, blind hoping
You said I was freeloading
I didn't know you were keeping count
But, oh, you were keeping count"
Holy Ground (Taylor's Version),"[Verse 1]
I was reminiscing just the other day
While havin' coffee all alone and, Lord, it took me away
Back to a first-glance feelin' on New York time
Back when you fit my poems like a perfect rhyme
Took off faster than a green light, go
Yeah, you skip the conversation when you already know
I left a note on the door with a joke we'd made
And that was the first day
[Chorus]
And darlin', it was good
Never lookin' down
And right there where we stood
Was holy ground
[Verse 2]
Spinnin' like a girl in a brand new dress
We had this big, wide city all to ourselves
Wе block the noise with the sound of, ""I need you""
And for thе first time, I had something to lose
And I guess we fell apart in the usual way
And the story's got dust on every page
But, sometimes, I wonder how you think about it now
And I see your face in every crowd
[Chorus]
'Cause, darlin', it was good (Ooh-ayy, ooh-ayy)
Never lookin' down (Ooh-ayy, ooh-ayy)
And right there where we stood (Ooh-ayy)
Was holy ground
[Post-Chorus]
Ooh-ayy, ooh-ayy, ooh-ayy, oh-woah
Ooh-ayy, ooh-ayy, ooh-ayy, oh-woah
[Bridge]
Tonight, I'm gonna dance
For all that we've been through
But I don't wanna dance
If I'm not dancin' with you
Tonight, I'm gonna dance
Like you were in this room
But I don't wanna dance
If I'm not dancin' with you
[Chorus]
It was good
I'm never lookin' down
And right there where we stood
Was holy ground
[Post-Chorus]
Ooh-ayy, ooh-ayy, ooh-ayy, oh-woah
Ooh-ayy, ooh-ayy, ooh-ayy, oh-woah
[Outro]
Tonight, I'm gonna dance (Ooh-ayy, ooh-ayy)
For all that we've been through (Ooh-ayy, oh-woah)
But I don't wanna dance (Ooh-ayy, ooh-ayy)
If I'm not dancin' with you (Ooh-ayy, oh-woah)
Tonight, I'm gonna dance (Ooh-ayy, ooh-ayy)
Like you were in this room (Ooh-ayy, oh-woah)
But I don't wanna dance (Ooh-ayy, ooh-ayy)
If I'm not dancin' with you"
How You Get The Girl (Taylor's Version),"[Intro]
Oh, oh, oh
Oh, oh, oh
Oh, oh
Oh, oh
[Verse 1]
Stand there like a ghost, shakin' from the rain, rain
She'll open up the door and say, ""Are you insane-ane?""
Say, ""It's been a long six months""
And you were too afraid to tell her what you want, want
[Pre-Chorus]
And that's how it works
That's how you get the girl
And then you say
[Chorus]
""I want you for worse or for better
I would wait forever and ever
Broke your heart, I'll put it back together
I would wait forever and ever""
And that's how it works
That's how you get the girl, girl, oh
And that's how it works
That's how you get the girl, girl
[Verse 2]
Remind her how it used to be, be, yeah, yеah
Of pictures in frames, of kisses on cheeks, cheeks
Tеll her how you must have lost your mind, ooh
When you left her all alone and never told her why, why
[Pre-Chorus]
And that's how it works
That's how you lost the girl
And now you say
[Chorus]
""I want you for worse or for better
I would wait forever and ever (Ever and ever)
Broke your heart, I'll put it back together (Put it back together)
I would wait forever and ever (Ever and ever)""
And that's how it works
That's how you get the girl, girl, oh
And that's how it works
That's how you get the girl, girl, yeah, yeah
[Bridge]
And you know
That I don't want you to go
[Break]
Remind me how it used to be
Pictures in frames of kisses on cheeks
And say you want me, yeah, yeah, 'cause
And then you say
[Chorus]
""I want you for worse or for better (Worse or for better)
I would wait forever and ever (Ever and ever)
Broke your heart, I'll put it back together
I want you forever and ever (I want you forever and ever)""
And that's how it works
That's how you get the girl, girl ('Cause it's how it works)
And that's how it works
That's how you get the girl, girl (Get the girl, that's how it works)
And that's how it works (Oh)
That's how you get the girl, girl (Oh)
And that's how it works
That's how you get the girl, girl
[Outro]
And that's how it works
That's how you got the girl"
I Almost Do (Taylor's Version),"[Verse 1]
I bet, this time of night, you're still up
I bet you're tired from a long, hard week
I bet you're sittin' in your chair by the window lookin' out at the city
And I bet sometimes you wonder 'bout me
[Chorus]
And I just wanna tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that
Every time I don't, I almost do
I almost do
[Verse 2]
I bet you think I either moved on or hate you
'Cause each time you reach out, there's no reply
I bet it never, ever occurred to you
That I can't say hello to you and risk another goodbye
[Chorus]
And I just wanna tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that
Every time I don't, I almost do
I almost do
[Post-Chorus]
(Ooh)
[Bridge]
Oh, we made quite a mess, babe
It's probably better off this way
And I confess, babe
In my dreams, you're touchin' my face
And asking me if I'd wanna try again with you
And I almost do
[Chorus]
And I just wanna tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that
Every time I don't, I almost do
I almost do
[Post-Chorus]
(Ooh)
[Outro]
I bet, this time of night, you’re still up
I bet you're tired from a long, hard week
I bet you're sittin' in your chair by the window lookin' out at the city
And I hope sometimes you wonder 'bout me"
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),
I Can Do It With a Broken Heart,"[Verse 1]
I can read your mind
""She's having the time of her life""
There in her glittering prime
The lights refract sequin stars off her silhouette every night
I can show you lies
(
One, two, three, four
)
[Pre-Chorus]
'Cause I'm a real tough kid
I can handle my shit
They said, ""Babe, you gotta fake it 'til you make it"" and I did
Lights, camera, bitch, smile
Even when you wanna die
He said he'd love me all his life
But that life was too short
Breaking down, I hit the floor
All the piеces of me shatterеd as the crowd was chanting
, 
""More""
I was grinnin' like I'm winnin'
I was hittin' my marks
'Cause I can do it with a broken heart
(
One, two, three, four
)
[Chorus]
I'm so depressed, I act like it's my birthday every day
I'm so obsessed with him, but he avoids me like the plague
I cry a lot, but I am so productive, it's an art
You know you're good when you can even do it with a broken heart
[Verse 2]
I can hold my breath
I've been doin' it since he left
I keep finding his things in drawers
Crucial evidence I didn't imagine the whole thing
I'm sure I can pass this test
(
One, two, three, four
)
[Pre-Chorus]
'Cause I'm a real tough kid
I can handle my shit
They said, ""Babe, you gotta fake it 'til you make it"" and I did
Lights, camera, bitch, smile
In stilettos for miles
He said he'd love me for all time
But that time was quite short
Breaking down, I hit the floor
All the pieces of me shattered as the crowd was chanting, ""More""
I was grinnin' like I'm winnin'
I was hittin' my marks
'Cause I can do it with a broken heart
(
One, two, three, four
)
[Chorus]
I'm so depressed, I act like it's my birthday every day
I'm so obsessed with him, but he avoids me (He avoids me), like the plague
I cry a lot, but I am so productive, it's an art
You know you're good when you can even do it with a broken heart
[Outro]
You know you're good when you can even do it with a broken heart
You know you're good
And I'm good
'Cause I'm miserable (Haha)
And nobody even knows
Ah, try and come for my job"
